Jahr	Meister	Tore	Punkte
2021/2022	FC Bayern München	97:37	77
2020/2021	FC Bayern München	99:44	78
2019/2020	FC Bayern München	100:32	82
2018/2019	FC Bayern München	88:32	78
2017/2018	FC Bayern München	92:28	84
2016/2017	FC Bayern München	89:22	82
2015/2016	FC Bayern München	80:17	88
2014/2015	FC Bayern München	80:18	79
2013/2014	FC Bayern München	94:23	90
2012/2013	FC Bayern München	98:18	91
2011/2012	Borussia Dortmund	80:25	81
2010/2011	Borussia Dortmund	67:22	75
2009/2010	FC Bayern München	72:31	70
2008/2009	VfL Wolfsburg	80:41	69
2007/2008	FC Bayern München	68:21	76
2006/2007	VfB Stuttgart	61:37	70
2005/2006	FC Bayern München	67:32	75
2004/2005	FC Bayern München	75:33	77
2003/2004	Werder Bremen	79:38	74
2002/2003	FC Bayern München	70:25	75
2001/2002	Borussia Dortmund	62:33	70
2000/2001	FC Bayern München	62:37	63
1999/2000	FC Bayern München	73:28	73
1998/1999	FC Bayern München	76:28	78
1997/1998	1. FC Kaiserslautern	63:39	68
1996/1997	FC Bayern München	68:34	71
1995/1996	Borussia Dortmund	76:38	68
1994/1995	Borussia Dortmund	67:33	49:19
1993/1994	FC Bayern München	68:37	44:24
1992/1993	SV Werder Bremen	68:30	48:20
1991/1992	VfB Stuttgart	62:32	52:24
1990/1991	1. FC Kaiserslautern	72:45	48:20
1989/1990	FC Bayern München	64:28	49:19
1988/1989	FC Bayern München	67:26	50:18
1987/1988	SV Werder Bremen	61:22	52:16
1986/1987	FC Bayern München	67:31	53:15
1985/1986	FC Bayern München	82:31	49:19
1984/1985	FC Bayern München	79:38	50:18
1983/1984	VfB Stuttgart	79:33	48:20
1982/1983	Hamburger SV	79:33	52:16
1981/1982	Hamburger SV	95:45	48:20
1980/1981	FC Bayern München	89:41	53:15
1979/1980	FC Bayern München	84:33	50:18
1978/1979	Hamburger SV	78:32	49:19
1977/1978	1. FC Köln	86:41	48:20
1976/1977	Borussia Mönchengladbach	58:34	44:24
1975/1976	Borussia Mönchengladbach	66:37	45:23
1974/1975	Borussia Mönchengladbach	86:40	50:18
1973/1974	FC Bayern München	95:53	49:19
1972/1973	FC Bayern München	93:29	54:14
1971/1972	FC Bayern München	101:38	55:13
1970/1971	Borussia Mönchengladbach	77:35	50:18
1969/1970	Borussia Mönchengladbach	71:29	51:17
1968/1969	FC Bayern München	61:31	46:22
1967/1968	1. FC Nürnberg	71:37	47:21
1966/1967	Eintracht Braunschweig	49:27	43:25
1965/1966	TSV 1860 München	80:40	50:18
1964/1965	SV Werder Bremen	54:29	41:19
1963/1964	1. FC Köln	78:40	45:15
