Saison,1.  FC Köln,Eintracht Frankfurt,MSV Duisburg,Borussia Dortmund,VfB Stuttgart,Hamburger SV,TSV 1860 München,FC Schalke 04,1.  FC Nürnberg,Eintracht Braunschweig,SV Werder Bremen,1.  FC Kaiserslautern,Hertha BSC,Karlsruher SC,Preußen Münster,1.  FC Saarbrücken,Hannover 96,Borussia Neunkirchen,FC Bayern München,Borussia Mönchengladbach,SV Tasmania Berlin,Fortuna Düsseldorf,RW Essen,Alemannia Aachen,Kickers Offenbach,Rot-Weiß Oberhausen,Arminia Bielefeld,VFL Bochum,Wuppertaler SV,Fortuna Köln,Tennis Borussia Berlin,KFC Uerdingen 05,FC St. Pauli,SV Darmstadt 98,Bayer Leverkusen,SV Waldhof Mannheim 07,FC 08 Homburg,Blau-Weiß 90 Berlin,Stuttgarter Kickers,SG Wattenscheid 09,Dynamo Dresden,Hansa Rostock,SC Freiburg,1.  FC Lokomotive Leipzig,VfL Wolfsburg,SpVgg Unterhaching,SSV Ulm 1846,FC Energie Cottbus,1.  FSV Mainz 05,1899 Hoffenheim,FC Augsburg,SpVgg Greuther Fürth,SC Paderborn 07,FC  Ingolstadt 04,RB Leipzig,1.  FC Union Berlin
1964,62,55,52,47,46,43,42,41,40,39,38,36,33,32,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,114,95,96,98,81,81,91,70,83,77,94,72,65,65,30,23,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,177,149,146,164,126,128,161,107,136,122,160,106,65,98,30,23,87,67,67,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,228,203,189,218,169,168,219,149,182,182,199,157,65,140,30,23,134,67,120,84,10,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,283,256,238,261,218,212,263,190,248,232,261,193,65,163,30,23,180,93,174,141,10,34,31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,328,303,278,302,268,261,312,239,286,282,309,235,109,163,30,23,221,93,238,191,10,34,31,101,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,391,349,316,352,317,308,346,284,286,319,350,277,174,163,30,23,262,93,306,265,10,34,70,123,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,435,388,363,391,358,358,346,335,286,374,394,326,231,163,30,23,307,93,373,335,10,34,100,123,74,76,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,493,443,400,417,406,404,346,411,286,413,436,375,282,163,30,23,340,93,452,396,10,74,100,123,74,108,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,552,492,445,417,460,442,346,449,286,447,479,421,323,163,30,23,375,93,531,452,10,131,100,123,123,139,66,90,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
