,region,project_number,lineshort,feature,ctn,uploaded_ctn
0,proj1,12761,22snilca,pife-notc,87569,0.0
1,proj1,12761,22snilca,other,44579,0.0
2,proj1,12761,22snilca,melo,3758,0.0
3,proj1,12761,22snilca,noth,2115,0.0
4,proj1,12761,22snilca,plin,1061,1061.0
5,proj1,12761,22snilca,mife,827,827.0
6,proj1,12761,22snilca,ls-mife,504,504.0
7,proj1,12761,22snilca,ls-melo,197,197.0
8,proj1,12761,22snilca,lin,128,128.0
9,proj1,12761,22snilca,crac,93,93.0
10,proj1,12761,22snilca,ls-lin,44,44.0
11,proj1,12761,22snilca,ls-plin,43,0.0
12,proj1,12761,22snilca,ls-crac,15,15.0
13,proj1,12761,22snilca,melo-corr,11,11.0
14,proj0,12698,20belles,crac,268,268.0
15,proj0,12698,20belles,ls-ind,179,179.0
16,proj0,12698,20belles,other,26,0.0
17,proj0,12698,20belles,crac-c,20,20.0
18,proj0,12698,20belles,pls-ind,17,17.0
19,proj0,12698,20belles,ls-mife,11,11.0
20,proj0,12698,20belles,crac-grp,10,10.0
21,proj0,12698,20belles,plin,10,10.0
22,proj0,12698,20belles,ls-melo,6,6.0
23,proj0,12698,20belles,mife,1,1.0
24,proj0,12542,30307308,irre,33068,0.0
25,proj0,12542,30307308,mife,16264,0.0
26,proj0,12542,30307308,melo-corr,5750,0.0
27,proj0,12542,30307308,noth,4722,0.0
28,proj0,12542,30307308,ls,958,0.0
29,proj0,12542,30307308,coat-imp,527,527.0
30,proj0,12542,30307308,inst,352,352.0
31,proj0,12542,30307308,ls-ind,313,313.0
32,proj0,12542,30307308,lin,94,94.0
33,proj0,12542,30307308,ls-mife,92,92.0
34,proj0,12542,30307308,crac,36,36.0
35,proj0,12542,30307308,crac-grp,8,8.0
36,proj0,12542,30307308,lin-grp,7,7.0
37,proj0,12542,30307308,pife-notc,1,0.0
38,proj0,12542,30307308,ls-melo,1,1.0
39,proj0,15923,24wooree,other,5024,0.0
40,proj0,15923,24wooree,ls-feat,1566,0.0
41,proj0,15923,24wooree,melo,939,0.0
42,proj0,15923,24wooree,plin,268,268.0
43,proj0,15923,24wooree,mife,246,246.0
44,proj0,15923,24wooree,coat-imp,242,242.0
45,proj0,15923,24wooree,crac,136,136.0
46,proj0,15923,24wooree,ls-plin,90,90.0
47,proj0,15923,24wooree,ls-crac,15,15.0
48,proj0,15923,24wooree,noth,7,0.0
49,proj0,15923,24wooree,crac-c,5,5.0
50,proj0,15923,24wooree,ls-lin,2,2.0
51,proj0,15923,24wooree,crac-grp,2,2.0
52,proj0,15743,24joared,other,28191,0.0
53,proj0,15743,24joared,melo,351,351.0
54,proj0,15743,24joared,plin,217,217.0
55,proj0,15743,24joared,mife,101,101.0
