,lineshort,feature,uploaded_ctn
0,22snilca,crac,93
1,22snilca,ls-crac,15
2,22snilca,ls-lin,44
3,22snilca,melo-corr,11
4,22snilca,lin,128
5,22snilca,ls-melo,197
6,22snilca,ls-mife,504
7,22snilca,mife,827
8,22snilca,plin,1061
0,20belles,mife,1
1,20belles,crac,268
2,20belles,crac-c,20
3,20belles,crac-grp,10
4,20belles,ls-ind,179
5,20belles,ls-melo,6
6,20belles,ls-mife,11
7,20belles,plin,10
8,20belles,pls-ind,17
0,30307308,ls-melo,1
1,30307308,coat-imp,527
2,30307308,crac,36
3,30307308,crac-grp,8
4,30307308,inst,352
5,30307308,lin,94
6,30307308,lin-grp,7
7,30307308,ls-ind,313
8,30307308,ls-mife,92
0,24wooree,crac-grp,2
1,24wooree,coat-imp,242
2,24wooree,crac,136
3,24wooree,crac-c,5
4,24wooree,ls-crac,15
5,24wooree,ls-lin,2
6,24wooree,ls-plin,90
7,24wooree,mife,246
8,24wooree,plin,268
0,24joared,coat-imp,64
1,24joared,crac,13
2,24joared,lin,12
3,24joared,melo,351
4,24joared,mife,101
5,24joared,plin,217
0,24110vol,ls-ind,3
1,24110vol,coat-imp,210
2,24110vol,inst,310
3,24110vol,lin,23
4,24110vol,lin-grp,10
5,24110vol,ls-melo,88
6,24110vol,melo-corr,585
0,30305306,lin-grp,3
1,30305306,inst,100
2,30305306,ls-ind,9
3,30305306,ls-melo,68
4,30305306,ls-mife,234
5,30305306,melo-mife,1
6,30305306,pls-ind,4
7,30305306,lin,3
0,26792822,coat-imp,69
1,26792822,crac,75
2,26792822,crac-grp,3
3,26792822,lin,118
4,26792822,lin-grp,2
5,26792822,ls-crac,8
6,26792822,ls-lin,26
7,26792822,ls-melo,5
8,26792822,ls-mife,191
9,26792822,ls-plin,268
10,26792822,plin,365
0,30tuccas,coat-imp,100
1,30tuccas,crac,71
2,30tuccas,lin,40
3,30tuccas,ls,143
4,30tuccas,melo-corr,368
0,24156158,lin-grp,8
1,24156158,inst,347
2,24156158,irre,23
3,24156158,lin,20
4,24156158,ls-melo,122
5,24156158,ls-mife,132
6,24156158,mife,666
7,24156158,plin,14
