,Titel
0, 1. Andrea Berg - Ich würd's wieder tun
1, 2. Ramon Roselly - Ich will gern mein Herz verlieren
2, 3. Fantasy - Nun sag schon Adieu
3, 4. DJ Herzbeat feat. Joey Heindle - Herzdonner
4, 5. Kerstin Ott - Ich wünsche mir von Dir
5, 6. Roland Kaiser - Gegen die Liebe kommt man nicht an
6, 7. Claudia Jung - Tür an Tür
7, 8. Michelle - Scheißkerl
8, 9. Marianne Rosenberg - Bitte sag nicht Goodbye
9, 10. Ella Endlich - Sternschwimmer
10, 11. Julian Reim - Ich hab dich Lieb
11, 12. Kerstin Ott - Einfach nein
12, 13. Vincent Gross - Weisst was ich mein
13, 14. Karsten Walter - Zeig mir was Liebe ist (Show Me Love)
14, 15. Schlager Radio mit Alva - Wir lieben Schlager
15," 16. Maite Kelly - Was wäre, wenn"
16, 17. Tanja Lasch - Ich sag nur einmal Verzeih
17, 18. Andreas Gabalier - Ein neuer Anfang
18, 19. Chris Cronauer - Die Welt steht auf unserer Seite
19, 20. Sonia Liebing - Spuren der Liebe
20, 21. Zwei wie eins - Leben
21, 22. Vivien Gold - Gedankenkarussell
22, 23. Helene Fischer - Jetzt oder nie
23, 24. Uta Bresan - Dass Du liebst
24, 25. Nik P. - Mit dir schlafen
25, 26. Anita & Alexandra Hofmann - Kompass
26," 27. Davin Herbrüggen - Irgendwann, irgendwo"
27, 28. Semino Rossi - Te Quiero Heisst Ich Liebe Dich
28, 29. Annemarie Eilfeld - Himmel und Hölle
29, 30. Cora - Bei mir darfst du schwach werden
30, 31. Joshville - Jede Nacht In Meinen Träumen
31, 32. Allessa - Nimm deine Träume wieder mit
32, 33. Bernhard Brink - Von null auf unsterblich
33, 34. Mike Leon Grosch - Dann geht es Dir genau wie mir
34, 35. Saskia Leppin - Das 5. Element
35, 36. Anna-Carina Woitschack - Legendär
36, 37. Paulina Wagner - Gefühlt perfekt
37, 38. Gilbert - Die Zeichen meines Lebens
38, 39. Laura Wilde - Vergiss mich morgen
39, 40. Nik P. - Manche sterben jung
40, 41. Eric Philippi - Ein letzter Kuss
41, 42. Maria Levin - Endlich richtig sein
42, 43. Francine Jordi & Ross Antony - In allen Farben
43, 44. Semino Rossi - Heute hab ich Zeit für dich
44, 45. Marie Reim - Auf dem Weg ins Paradies
45, 46. Matthias Reim - Bon Voyage
46, 47. Howard Carpendale & Royal Philharmonic Orchestra feat. Giovanni Zarrella - Ruf mich an
47, 48. Howard Carpendale und Eric Philippi - Weiße Taube
48, 49. Markus - Herzschlag
49, 50. Matthias Reim - Blaulicht
