,Titel
0, 1. Roland Kaiser - Zuversicht
1, 2. Maite Kelly - Für Gefühle kann man nichts
2, 3. Andrea Berg und Vanessa Mai - Unendlich
3, 4. Helene Fischer - Liebe ist ein Tanz
4, 5. Beatrice Egli - Volles Risiko
5, 6. Eloy de Jong - Ich sage ja ( You Raise Me Up)
6, 7. Ella Endlich - Sternschwimmer
7, 8. Howard Carpendale - Das größte Glück der Welt
8, 9. Marianne Rosenberg - Diva
9, 10. Nicole - Ich bin zurück
10, 11. DJ Herzbeat mit Sonia Liebing - One Way Ticket (für uns zwei)
11, 12. Matthias Reim - Bon Voyage
12, 13. Marie Reim - Das mach ich ohne dich
13, 14. Vincent Gross - Fiesta del Mar
14, 15. Ben Zucker - Unsere Lieder
15, 16. Bernhard Brink - Du und Ich
16, 17. Semino Rossi - Te Quiero Heisst Ich Liebe Dich
17, 18. Ute Freudenberg - Stark wie nie
18, 19. Eric Philippi - Ticket ins Abenteuer
19, 20. Kerstin Ott - Der Morgen nach Marie
20, 21. Wolfgang Petry - Geboren für den Augenblick
21, 22. Norman Langen - Verdammt nochmal warum
22, 23. Julian David - Alle zusammen
23, 24. Ramon Roselly - Ich will gern mein Herz verlieren
24, 25. Anna Carina Woitschack - Legendär
25, 26. Karsten Walter und Maria Marx - Lass die anderen reden
26, 27. Marianne Rosenberg - Bitte sag nicht Goodbye
27, 28. Sarah Zucker - Wir tanzen um die Welt
28, 29. Anna Maria Zimmermann - So vermisst
29, 30. Graziano - Donna Donna Donna Mia
30, 31. DJ Herzbeat & Joey Heindle - Herz Donner
31, 32. Ricky Meier - Love Is In The Air
32, 33. Fantasy - Nun sag schon Adieu
33, 34. Simone - Das Ist Liebe
34, 35. Roland Kaiser - Sag mir wann
35, 36. Vanessa Mai - 747
36, 37. Oli P - Freiheit
37, 38. Andrea Berg - Ich würd's wieder tun
38, 39. DJ Ötzi - Wenn Gott so will
39, 40. Laura Wilde - Vergiss mich morgen
40, 41. Linda Hesse - Ich warte auf die Nacht
41, 42. Schlagerradio mit Alva - Wir lieben Schlager
42, 43. Claudia Jung - Tür an Tür
43, 44. Kim Fisher mit Peter Plate - Ich Bin Da
44, 45. Michelle - Scheißkerl
45, 46. Fantasy - Mitten im Feuer
46, 47. Max Weidner - Irgendwann und Irgendwo
47, 48. Kerstin Ott - Einfach nein
48, 49. Stefan Gwildis und Nelson Müller - Schwerelos
49, 50. Roland Kaiser - Gegen die Liebe kommt man nicht an
